pid,model,price,country_code,country,region,income group,scraped_date
0,iPhone 13,"From A$1,199",au,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535
1,iPhone SE,From A$679,au,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535
2,iPhone 12,From A$999,au,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535
3,AirPods(3rd generation),A$279,au,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535
4,AirPods Pro,A$399,au,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535
5,AirPods(2nd generation),A$219,au,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535
6,AirPods Max,A$899,au,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535
7,Apple TV 4K,A$249,au,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535
8,Apple Watch SE,From A$429,au,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535
9,Apple Watch Series 3,From A$299,au,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535
10,Sport Band,A$69,au,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535
11,iPad,From A$499,au,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535
12,iPad Pro,"From A$1,199",au,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535
13,Apple Pencil (2nd generation),A$199,au,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535
14,24-inch iMac²,"From A$1,899",au,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535
15,MacBook Air,"From A$1,499",au,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535
16,Magic Mouse,A$109,au,Australia,East Asia & Pacific,High income,2022-01-02 21:52:06.630535
0,iPhone 13,Ab 799 €,at,Austria,Europe & Central Asia,High income,2022-01-02 21:52:07.703491
1,iPhone SE,Ab 479 €,at,Austria,Europe & Central Asia,High income,2022-01-02 21:52:07.703491
2,iPhone 12,Ab 679 €,at,Austria,Europe & Central Asia,High income,2022-01-02 21:52:07.703491
3,AirPods(3. Generation),199 €,at,Austria,Europe & Central Asia,High income,2022-01-02 21:52:07.703491
4,AirPods Pro,279 €,at,Austria,Europe & Central Asia,High income,2022-01-02 21:52:07.703491
5,AirPods(2. Generation),149 €,at,Austria,Europe & Central Asia,High income,2022-01-02 21:52:07.703491
6,AirPods Max,629 €,at,Austria,Europe & Central Asia,High income,2022-01-02 21:52:07.703491
7,Apple TV HD,159 €,at,Austria,Europe & Central Asia,High income,2022-01-02 21:52:07.703491
8,Apple TV 4K,199 €,at,Austria,Europe & Central Asia,High income,2022-01-02 21:52:07.703491
